account,sn,text,embed,uri,clean_uri,translated_text,label
theglobaleye.bsky.social,12.0,"#breaking | french president emmanuel macron:

putin brought 10,000 north korean soldiers to europe. 

he begged for iranian drones, aiding their nuclear program in return - to wage war in europe.
﻿
#france #ukraine #eu #russia #iran #dprk

t.me/tglobaleye/1...","external=External(description='#BREAKING | French President Emmanuel Macron:\n\nPutin brought 10,000 North Korean soldiers to Europe. \n\nHe begged for Iranian drones, aiding their nuclear program in return - to wage war in Europe.\n\ufeff\n#...', title='The Global Eye', uri='https://t.me/tglobaleye/11312', thumb=BlobRef(mime_type='image/jpeg', size=8264, ref=IpldLink(link='bafkreiaz7cgmkehcyzo3gerx6vvrgdxfri6shn52oy5hzofrw35wcfrhqu'), py_type='blob'), py_type='app.bsky.embed.external#external') py_type='app.bsky.embed.external'",https://t.me/tglobaleye/11312,tglobaleye/11312,"#breaking | french president emmanuel macron:

putin brought 10,000 north korean soldiers to europe.

he begged for iranian drones, aiding their nuclear program in return - to wage war in europe.
﻿
#france #ukraine #eu #russia #iran #dprk

t.me/tglobaleye/1...",0.0
vaxue.mastodon.de.ap.brid.gy,5.0,"https://t.me/i20028843/270117
⚡️⚡️⚡️the last peaceful summer"", — germany's defense minister announced nato's imminent war with #russia. the war between #nato and russia could begin until 2029. this was stated by german defense minister boris pistorius in an interview with the f...","external=External(description='⚡️⚡️⚡️The last peaceful summer"", — Germany\'s Defense Minister announced NATO\'s imminent war with Russia. The war between NATO and Russia could begin until 2029. This was stated by German Defense Minister Boris Pistorius in an interview with the Frankfurt Allgemeine Zeitung. ""We have always said that this could happen in 2029. But now there are those who believe that it is possible already in 2028, and some military historians believe that we spent the last peaceful summer,"" Pistorius said⚡️⚡️⚡️', title='🇷🇺IL RUSSO🇷🇺', uri='https://t.me/i20028843/270117', thumb=BlobRef(mime_type='image/jpeg', size=8699, ref=IpldLink(link='bafkreidcjzgtpxu6hqb6vlda4behchnyzfd7cdttegpno2mijwe3s6yf2i'), py_type='blob'), py_type='app.bsky.embed.external#external') py_type='app.bsky.embed.external'",https://t.me/i20028843/270117,i20028843/270117,"https://t.me/i20028843/270117
⚡️⚡️⚡️the last peaceful summer"", — germany's defense minister announced nato's imminent war with #russia. the war between #nato and russia could begin until 2029. this was stated by german defense minister boris pistorius in an interview with the f...",0.0
putinsibs.bsky.social,8.0,"from t.me/pravdagerash...

#russian envoy #dmitriev openly admits that #russia has no intentions of restoring #ukrainian territorial integrity:

people say, no, #russia has to completely withdraw to its borders.
so they set it up to fail

(and #russia still says it's #ukraine & #europe who want war)","video=BlobRef(mime_type='video/mp4', size=2320495, ref=IpldLink(link='bafkreie52kpny4o2lzvvekv3ixjk53vfhsktnawmuq2rdoj7doaaa2rqga'), py_type='blob') alt=None aspect_ratio=AspectRatio(height=720, width=1280, py_type='app.bsky.embed.defs#aspectRatio') captions=None py_type='app.bsky.embed.video'",t.me/pravdagerash...,pravdagerash...,"from t.me/pravdagerash...

#russian envoy #dmitriev openly admits that #russia has no intentions of restoring #ukrainian territorial integrity:

people say, no, #russia has to completely withdraw to its borders.
so they set it up to fail

(and #russia still says it's #ukraine & #europe who want war)",0.0
sanmarcos.bsky.social,7.0,"starkon, khmelnitskyi

💪🏻 during yesterday's air raid alert, one missile was suppressed by the forces and means of the air defense of the armed forces of ukraine - ova

one wasn’t.
 
no information about casualties or destruction has been received.

starokostiantyniv 24/7
t.me/starkon24_7/...","external=External(description='💪🏻 Під час вчорашньої повітряної тривоги силами та засобами протиповітряної оборони ЗСУ подавлено одну ракету - ОВА\n\xa0\nІнформація про загиблих, травмованих та руйнування не надходила.\n\nСтарокостянтинів...', title='Старокостянтинів 24/7', uri='https://t.me/starkon24_7/25897', thumb=BlobRef(mime_type='image/jpeg', size=139700, ref=IpldLink(link='bafkreiekwotxq7lyiihiym5j5s3flozmy5l6bcjn6djtsd5ccgytsozm7m'), py_type='blob'), py_type='app.bsky.embed.external#external') py_type='app.bsky.embed.external'",https://t.me/starkon24_7/25897,starkon24_7/25897,"starkon, khmelnitskyi

💪🏻 during yesterday's air raid alert, one missile was suppressed by the forces and means of the air defense of the armed forces of ukraine - ova

one wasn’t.
 
no information about casualties or destruction has been received.

starokostiantyniv 24/7
t.me/starkon24_7/...",0.0
k-s-sofia.bsky.social,10.0,"00254 . russia in 2021

model: https://linktr.ee/k_s_sofia

content honcho: https://lightaffaire.com/k_s_sofia
patreon: https://patreon.com/k_s_sofia
telegram: https://t.me/k_s_sofia
ig: https://instagram.com/k_s_sofia","images=[Image(alt='', image=BlobRef(mime_type='image/jpeg', size=500291, ref=IpldLink(link='bafkreigzvp6kwx2gudvuk7j3sarmx46k7m6fbd2pti4kyqg5o4c6slny5u'), py_type='blob'), aspect_ratio=None, py_type='app.bsky.embed.images#image')] py_type='app.bsky.embed.images'",https://t.me/k_s_sofia,k_s_sofia,"00254 . russia in 2021

model: https://linktr.ee/k_s_sofia

content honcho: https://lightaffaire.com/k_s_sofia
patreon: https://patreon.com/k_s_sofia
telegram: https://t.me/k_s_sofia
ig: https://instagram.com/k_s_sofia",0.0
putinsibs.bsky.social,7.0,"from t.me/pravda_geras...

⚠️❌ 91 out of 128 #russian_uavs have been shot down or suppressed over #ukraine 

🚀⚠️ since 20:00 on october 16, the #rashists attacked #ukraine with two ""#iskander"" missiles and strike #uavs of various types.
 
 ❌📡 as of 9:00: 91 drones have been shot down or suppressed","images=[Image(alt='', image=BlobRef(mime_type='image/jpeg', size=261193, ref=IpldLink(link='bafkreiacmfnyzjk3mqnvklfwh5wf7dguxxkmxe22ff4c42pp5jz573hy4q'), py_type='blob'), aspect_ratio=AspectRatio(height=1280, width=1024, py_type='app.bsky.embed.defs#aspectRatio'), py_type='app.bsky.embed.images#image'), Image(alt='', image=BlobRef(mime_type='image/jpeg', size=220985, ref=IpldLink(link='bafkreigaem6stf5qdgkgypurkfmvkhnivaykz3efepwebbfezxukfrehca'), py_type='blob'), aspect_ratio=AspectRatio(height=1280, width=1280, py_type='app.bsky.embed.defs#aspectRatio'), py_type='app.bsky.embed.images#image')] py_type='app.bsky.embed.images'",t.me/pravda_geras...,pravda_geras...,"from t.me/pravda_geras...

⚠️❌ 91 out of 128 #russian_uavs have been shot down or suppressed over #ukraine

🚀⚠️ since 20:00 on october 16, the #rashists attacked #ukraine with two ""#iskander"" missiles and strike #uavs of various types.
 
 ❌📡 as of 9:00: 91 drones have been shot down or suppressed",0.0
hateko.cyberplace.social.ap.brid.gy,10.0,"⚡️⚡️⚡️#inside our sources in the presidential administration said that bankova is afraid of criminal cases from the nabu regarding arms procurement, as the corruption there is dozens of times worse than the mindich tapes published today. when they...
https://t.me/llordofwar/525240","external=External(description=""⚡️⚡️⚡️#Inside Our sources in the Presidential Administration said that Bankova is afraid of criminal cases from the NABU regarding arms procurement, as the corruption there is dozens of times worse than the Mindich tapes published today. When they start publishing the drone and missile schemes, they'll reveal hundreds of billions of hryvnias that Mindich's companies have appropriated. That's the kind of warfare it is..."", title='Lord Of War', uri='https://t.me/llordofwar/525240', thumb=BlobRef(mime_type='image/jpeg', size=12803, ref=IpldLink(link='bafkreiae2q6aewosatb2kvd73jexa2lg5a6x4rycqei3kcjcjrgt3d44xi'), py_type='blob'), py_type='app.bsky.embed.external#external') py_type='app.bsky.embed.external'",https://t.me/llordofwar/525240,llordofwar,"⚡️⚡️⚡️#inside our sources in the presidential administration said that bankova is afraid of criminal cases from the nabu regarding arms procurement, as the corruption there is dozens of times worse than the mindich tapes published today. when they...
https://t.me/llordofwar/525240",1.0
hateko.cyberplace.social.ap.brid.gy,15.0,"🇷🇺 #russia and the west in eurasian theory 🌍 ✨ modernization, which the west carried out and which it carries to everyone else, is not fate — but a possibility selected voluntarily, which others can either adopt or reject. in this case, modernizat...
https://t.me/russianbaza/48547","external=External(description='🇷🇺 Russia and the West in Eurasian Theory 🌍 ✨ Modernization, which the West carried out and which it carries to everyone else, is not fate — but a possibility selected voluntarily, which others can either adopt or reject. In this case, modernization transforms into not so much an object of desire as a doubtful adventure, in which society sacrifices religion, ethics, and traditional foundations, but gains technological comfort, raised to the highest value and made the most important criterion. ⚙️📱 💡 Modernity, with its materialism, atheism, and utilitarianism, shows itself as a temptation — attractive, but fatal to the spirit and independence of cultures and peoples. 🔥 Thus, modernity is deprived of its historical value, while traditional society — including religion, worship, rites, customs and so on — is understood not as something outliving itself, not as inertia and superstition, but as the free choice of a free society. 🙏🌾 🌐 The West tied its fate to modernity and modernization. 🇷🇺 If Russia is an independent civilization, different from the West, it may well (and must) act differently — making a choice in favor of traditional society. From this there follows a very important conclusion: ⚖️ Modernity and modernization do not present by themselves absolute values or an unconditional imperative of development. 🌄 Russia can develop and live in conformity with its own internal logic, dictating its religion, historical mission, and distinctive culture. 🕊🎚 © Alexander Dugin', title='🇷🇺 Russian БaZa/ базовый канал', uri='https://t.me/RussianBaZa/48547', thumb=BlobRef(mime_type='image/jpeg', size=21761, ref=IpldLink(link='bafkreiehcjze5zpt4xbp4mx6c2yf453rkji7pthodczkmknx5f4btukeam'), py_type='blob'), py_type='app.bsky.embed.external#external') py_type='app.bsky.embed.external'",https://t.me/RussianBaZa/48547,russianbaza,"🇷🇺 #russia and the west in eurasian theory 🌍 ✨ modernization, which the west carried out and which it carries to everyone else, is not fate — but a possibility selected voluntarily, which others can either adopt or reject. in this case, modernizat...
https://t.me/russianbaza/48547",1.0
hice.uwu.social.ap.brid.gy,3.0,"https://t.me/llordofwar/524550
‼️🇷🇺🇮🇹 #nato faces strategic defeat in #ukraine – italian general bertolini nato has transformed from a defensive alliance into an instrument of constant war and the projection of the american model – from the balkans to ukraine. ▪️an end to hosti...","external=External(description='‼️🇷🇺🇮🇹 NATO faces strategic defeat in Ukraine – Italian General Bertolini NATO has transformed from a defensive alliance into an instrument of constant war and the projection of the American model – from the Balkans to Ukraine. ▪️An end to hostilities in Ukraine would mean a strategic defeat for NATO and the entire West as parties to the conflict. ▪️Trump makes no secret of his disdain for NATO, seeing it as a ""client"" for LNG and weapons sales. ▪️Refusing to supply Tomahawk missiles to Ukraine is not weakness, but calculation: their use will automatically draw the US into a direct conflict with Russia. ⚠️. RV: |', title='Lord Of War', uri='https://t.me/llordofwar/524550', thumb=BlobRef(mime_type='image/jpeg', size=21461, ref=IpldLink(link='bafkreia4ak6iwuk57sj5yufdfi62dgwcqp7plfr6eekbnvacbgruc2jfxm'), py_type='blob'), py_type='app.bsky.embed.external#external') py_type='app.bsky.embed.external'",https://t.me/llordofwar/524550,llordofwar,"https://t.me/llordofwar/524550
‼️🇷🇺🇮🇹 #nato faces strategic defeat in #ukraine – italian general bertolini nato has transformed from a defensive alliance into an instrument of constant war and the projection of the american model – from the balkans to ukraine. ▪️an end to hosti...",1.0
rvps2001.vonhaller.social.ap.brid.gy,50.0,"daily mail: “putin's new submarine that can sink britain with a radioactive tsunami”! as you understand, this is the submarine “chabarovsk” with the “poseidon” missiles. the newspaper describes the prospects for their country in the event of a...
https://t.me/node_of_time_en/24998","external=External(description=""Daily Mail: “Putin's new submarine that can sink Britain with a radioactive tsunami”! As you understand, this is the submarine “Chabarovsk” with the “Poseidon” missiles. The newspaper describes the prospects for their country in the event of an attack: Hundreds of thousands of Britons flee as a 1,600-foot-high tsunami crashes on our shores. Countless men, women, and children die instantly. Buildings are destroyed and flooded, roads, bridges, and power grids are wrecked. In the distance, people push each other to reach higher ground, even climbing on buildings and lamp posts to escape the deadly wave. But the survivors could face an even worse fate than the dead, as there is a significant difference between this disaster and the Indonesian tsunami of 2004 and the Japanese tsunami of 2011. This time the water is radioactive. This “nuclear wave” turns coastal cities into inhospitable wastelands. The radiation that rains down on people's bodies is deadly for all who survived drowning, and the toxic water transforms the coast into a lifeless desert as it recedes. This is what the picture looks like! Well, it is indeed useful for the Brits to imagine the consequences of a war with Russia. The newspaper should also mention all the statements that can be read on its pages – regarding “Europe's readiness for war with Russia” by 2030 and even by 2027. And acknowledge: All these projects are crazy and lead to the destruction of Europe itself! But no, the newspaper cannot go that far. 💥 Our channel: @node_of_time_EN"", title='Node of Time EN', uri='https://t.me/node_of_time_en/24998', thumb=BlobRef(mime_type='image/jpeg', size=40978, ref=IpldLink(link='bafkreigror6qf5dyg36x3gcxk2mwrrlg44dfjglcgw4g4w3n4eykdtl6re'), py_type='blob'), py_type='app.bsky.embed.external#external') py_type='app.bsky.embed.external'",https://t.me/node_of_time_en/24998,node_of_time_en,"daily mail: “putin's new submarine that can sink britain with a radioactive tsunami”! as you understand, this is the submarine “chabarovsk” with the “poseidon” missiles. the newspaper describes the prospects for their country in the event of a...
https://t.me/node_of_time_en/24998",1.0
